"지점","시작일","종료일","지점명","지점주소","관리관서","위도","경도","노장해발고도(m)","기압계(관측장비지상높이(m))","기온계(관측장비지상높이(m))","풍속계(관측장비지상높이(m))","강우계(관측장비지상높이(m))"
"146","1918-06-23 00:00:00","2015-07-01 00:00:00","전주","전북특별자치도 전주시덕진구 상가마을길25 전주기상지청 ","전주기상대(146)","35.8215","127.155","53.4","62.4","1.8","18.4","0.6"
"151","1985-01-01 00:00:00",\N,"울산공항",\N,\N,"35.5933","129.3522","12.6","8.4","2","10","0.6"
"152","2017-08-25 00:00:00",\N,"울산","울산광역시 중구 달빛로 65-26울산기상대 (약사동)","울산기상대(152)","35.5824","129.3347","81.14","83.2","1.8","10","1.3"
"152","2016-04-01 00:00:00",\N,"울산","울산광역시 중구 달빛로 65-26울산기상대 (약사동)","울산기상대(152)","35.5826","129.3344","82",\N,\N,\N,\N
"152","2016-04-01 00:00:00","2017-08-25 00:00:00","울산","울산광역시 중구 달빛로 65-26울산기상대 (약사동)","울산기상대(152)","35.5826","129.3344","82","83.2","1.8","10","0.6"
"152","2008-04-30 00:00:00","2016-04-01 00:00:00","울산","울산광역시 중구 달빛로 65-26울산기상대 (약사동)","울산기상대(152)","35.5601","129.3203","34.57",\N,\N,\N,\N
"152","1932-01-06 00:00:00","2016-04-01 00:00:00","울산","울산광역시 중구 달빛로 65-26울산기상대 (약사동)","울산기상대(152)","35.5601","129.3203","34.57","35.8","1.5","12","0.5"
"155","2010-07-22 00:00:00",\N,"창원","경상남도 창원시마산합포구 가포순환로172 창원기상대 ","창원기상대(155)","35.1702","128.5728","34.97","39.1","1.7","10","1.3"
"155","2004-12-16 00:00:00","2010-07-22 00:00:00","창원","경상남도 창원시마산합포구 가포순환로172 창원기상대 ",\N,"35.1671","128.5751","36.8","37.9","1.7","10","0.5"
"155","1985-07-01 00:00:00","2004-12-16 00:00:00","창원","경상남도 창원시마산합포구 가포순환로172 창원기상대 ",\N,"35.1903","128.5652","11.25","4.9","1.5","17.6","0.6"
"156","2004-01-27 00:00:00",\N,"광주","광주광역시 북구 서암대로 71광주지방기상청 (운암동)","광주지방기상청(156)","35.1729","126.8916","72.38",\N,\N,\N,\N
"156","1939-05-01 00:00:00",\N,"광주","광주광역시 북구 서암대로 71광주지방기상청 (운암동)","광주지방기상청(156)","35.1729","126.8916","70.28","73.9","1.7","17.5","0.8"
"159","1904-04-09 00:00:00",\N,"부산","부산광역시 중구복병산길 32번길 5-11 부산기상관측소 (대청동1가)","부산지방기상청(159)","35.1047","129.032","69.56","70.9","1.5","18","1.3"
"160","2020-10-23 00:00:00",\N,"부산(레)","부산광역시 서구 꽃마을로163번길 233-138구덕산기상레이더관측소 (서대신동3가)","부산지방기상청(159)","35.1188","129","512",\N,\N,\N,\N
"160","2005-05-12 00:00:00",\N,"구덕산","부산광역시 서구 꽃마을로163번길 233-138구덕산기상레이더관측소 (서대신동3가)","부산지방기상청(159)","35.1188","129","518.46",\N,\N,\N,\N
"160","1993-03-04 00:00:00","2020-10-23 00:00:00","부산(레)","부산광역시 서구 꽃마을로163번길 233-138구덕산기상레이더관측소 (서대신동3가)","부산지방기상청(159)","35.1188","129","518.46",\N,\N,\N,\N
"162","1968-01-01 00:00:00",\N,"통영","경상남도 통영시 망일1길 67통영자동기상관측소(정량동)","부산지방기상청(159)","34.8454","128.4356","31.24","33.2","1.5","18","1.3"
"163","2007-11-08 00:00:00",\N,"무안공항",\N,\N,"34.9914","126.3831","10.9","9.3","1.5","7","0.2"
"164","1993-01-01 00:00:00","2000-07-31 00:00:00","무안",\N,\N,"35.0938","126.2851","24.49","25.03","1.5","12.6","0.6"
"165","2019-10-31 00:00:00",\N,"목포","전라남도 목포시 고하대로 815(목포시 연산동 726-3 목포기상대) (연산동)","목포기상대(165)","34.8173","126.3815","44.7","39.2","1.5","14.5","1"
"165","1904-04-08 00:00:00","2019-10-31 00:00:00","목포","전라남도 목포시 고하대로 815(목포시 연산동 726-3 목포기상대) (연산동)","목포기상대(165)","34.8169","126.3812","38","39.2","1.5","14.5","1"
"167","1978-08-01 00:00:00",\N,"여수공항",\N,\N,"34.8467","127.6125","17.9","10.9","1.5","10","0.2"
"168","1942-03-01 00:00:00",\N,"여수","전라남도 여수시고소동 304  ","여수기상대(168)","34.7393","127.7406","65.93","66.1","1.5","13","0.6"
"169","1997-01-01 00:00:00",\N,"흑산도","전라남도 신안군흑산면 예리3길 21-90 흑산도관측소","흑산도기상대(169)","34.6872","125.4511","75.12","78","1.5","15.5","0.6"
"169","2003-03-21 00:00:00",\N,"흑산도","전라남도 신안군흑산면 예리3길 21-90 흑산도관측소","흑산도기상대(169)","34.6872","125.451","76.49",\N,\N,\N,\N
"170","1971-01-31 00:00:00",\N,"완도","전라남도 완도군군외면 청해진로795-3 (불목리 26)","목포기상대(165)","34.3959","126.7018","35.37","36.7","1.5","10","0.8"
"172","2010-12-01 00:00:00",\N,"고창","전북특별자치도 고창군 대산면 칠거리로 70고창기상대","전주기상대(146)","35.3482","126.599","52.42","53.5","1.8","10","1.7"
"174","2011-04-01 00:00:00",\N,"순천","전라남도 순천시승주읍 평중리230번지 순천지역기상서비스센터 ","광주지방기상청(156)","35.0204","127.3694","165","166.5","1.5","10","0.8"
"175","2024-10-15 00:00:00",\N,"진도(레)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","478.51",\N,\N,"10",\N
"175","2020-04-29 00:00:00","2024-10-15 00:00:00","진도(레)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","478.51",\N,\N,"10",\N
"175","2019-08-01 00:00:00","2020-04-29 00:00:00","진도(레)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","478.51",\N,\N,"10",\N
"175","2015-12-16 00:00:00","2019-08-01 00:00:00","진도(레)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","478.51",\N,\N,"10",\N
"175","2001-11-03 00:00:00","2019-08-01 00:00:00","진도(첨찰산)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","478.51","479.76","1.5","10","0.8"
"175","2015-07-13 00:00:00","2015-12-16 00:00:00","진도(레)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","476.47",\N,\N,"10",\N
"175","2008-04-30 00:00:00","2015-10-15 00:00:00","진도(첨찰산)","전라남도 진도군의신면 운림산방로527-209  ","목포기상대(165)","34.4721","126.3238","476.47",\N,\N,\N,\N
"175","2001-10-31 00:00:00","2015-07-13 00:00:00","진도(레)","전라남도 진도군의신면 운림산방로527-209  ","진도기상대(175)","34.4721","126.3238","476.47",\N,\N,"10",\N
"176","2013-10-10 00:00:00","2015-06-11 00:00:00","대구(기)",\N,"대구기상대(176)","35.8782","128.6522","49","50.2","1.8","10","0.6"
"177","2017-10-31 00:00:00",\N,"홍성","충청남도 홍성군홍북읍 신경리872(홍성기상대)  ",\N,"36.6576","126.6877","27.74","28.7","1.5","10","1.5"
"177","2015-11-03 00:00:00","2017-10-31 00:00:00","홍성","충청남도 홍성군홍북읍 신경리872(홍성기상대)  ","홍성기상대(서산 129)","36.6575","126.6877","20",\N,\N,"10",\N
"181","2023-05-01 00:00:00",\N,"서청주",\N,"청주기상대(131)","36.64","127.3847","32","32","1.5","10","0.5"
"181","2022-01-21 00:00:00","2023-05-01 00:00:00","서청주",\N,"청주기상대(131)","36.6397","127.3969","32","32","1.5","10","0.5"
"182","1965-11-01 00:00:00",\N,"제주공항",\N,\N,"33.5167","126.5","26.5","24.44","2","10","0.5"
"184","1923-05-01 00:00:00",\N,"제주","제주특별자치도 제주시만덕로 6길 32 제주지방기상청","제주지방기상청(184)","33.5141","126.5297","20.79","21.99","1.7","15","1.5"
"185","1988-01-01 00:00:00",\N,"고산","제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ","제주지방기상청(184)","33.2938","126.1628","71.39","72.49","1.7","10","1.5"
"185","2003-03-21 00:00:00",\N,"고산","제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ","제주지방기상청(184)","33.2938","126.1628","74.29",\N,\N,\N,\N
"185","1999-04-01 00:00:00","2013-02-05 00:00:00","고산(감)","제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ",\N,"33.2938","126.1628","74.29",\N,\N,\N,\N
"187","2007-03-27 00:00:00","2008-09-04 00:00:00","성산",\N,\N,"33.3868","126.8804","18","20.48","1.8","10.2","0.6"
"188","2008-09-04 00:00:00",\N,"성산","제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ","제주지방기상청(184)","33.3868","126.8802","20.34","21.74","1.7","10","1.5"
"188","1971-07-15 00:00:00","2008-09-04 00:00:00","성산","제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ","성산지역기상서비스센터(188)","33.3868","126.8804","18.4","20.1","1.5","10","0.6"
"189","2010-11-09 00:00:00",\N,"서귀포","제주특별자치도 서귀포시 태평로439번길 17서귀포기상관측소 (서귀동)","제주지방기상청(184)","33.2462","126.5653","51.86","53.16","1.7","10","1.5"
"189","1961-01-01 00:00:00","2010-11-09 00:00:00","서귀포","제주특별자치도 서귀포시 태평로439번길 17서귀포기상관측소 (서귀동)","서귀포지역기상서비스센터(189)","33.2461","126.5653","50.4","51.6","1.8","10","0.6"
"192","2005-11-23 00:00:00",\N,"진주","경상남도 진주시 남강로 43진주자동기상관측소(평거동)","창원기상대(155)","35.1638","128.04","29.35","31.6","1.8","10","1.3"
"192","2007-01-31 00:00:00",\N,"진주","경상남도 진주시 남강로 43진주자동기상관측소(평거동)","창원기상대(155)","35.1638","128.04","30.21",\N,\N,\N,\N
"192","1969-03-01 00:00:00","2005-11-23 00:00:00","진주","경상남도 진주시 남강로 43진주자동기상관측소(평거동)",\N,"35.2084","128.1191","21.32","22.64","1.5","10","0.6"
"201","1972-01-11 00:00:00",\N,"강화","인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ","인천기상대(112)","37.7074","126.4463","47.84","49.24","1.6","10","0.6"
